p;ingresopcf;housingQ;Wlocation;ToiletDrain;ToiletShare;HHschooling;Wsource;ToiletFacility;children;OlderAdults;ActiveMembers;Overcrowding;WorkingHours;bToiletLoc;Hlandfill;Hfloodplain;Hshanty;kitchen;laundry;garage;bCookingFuel;MonetaryAids;GoodsAids;OtherAids;HHgender;MedicalCov;HHemployed;pondera;bWlocation;iv3;biv3;iv4;iv4new;biv5;bWsource;ToiletLoc;bToiletFacility;CookingFuel;bToiletShare
0;4333.33;1;1;1;1;6;1;1;0;0;3;1.5;0;1;1;1;1;1;1;0;1;1;1;1;0;1;0;488;1;1;1;2;2;1;1;1;1;1;1
1;1314.29;1;1;1;1;2;1;1;0;0;7;2.33;0;1;0;0;1;1;0;0;1;1;1;0;1;0;0;84;1;1;1;9;9;1;1;1;1;1;1
0;5000;2;1;1;1;4;1;1;0;0;4;1;92;1;1;1;1;1;1;0;1;1;1;1;0;1;1;458;1;1;1;1;1;0;1;1;1;1;1
0;6200;1;1;1;1;2;1;1;0;2;0;1;0;1;1;1;1;1;0;0;1;1;1;1;0;1;0;267;1;1;1;1;1;1;1;1;1;1;1
0;10000;1;1;1;1;5;1;1;0;0;2;2;0;1;1;1;1;1;0;0;1;1;1;1;1;1;0;345;1;1;1;9;9;1;1;1;1;1;1
0;21125;1;1;1;1;6;1;1;0;0;4;0.67;20;1;1;1;1;1;1;0;1;1;1;1;0;1;1;331;1;1;1;9;9;1;1;1;1;1;1
0;6300;1;1;1;1;3;1;1;0;2;0;1;0;1;1;0;1;1;0;0;1;1;1;1;0;1;0;186;1;1;1;2;2;1;1;1;1;1;1
0;8000;3;1;1;1;6;1;1;0;0;1;0.33;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;7;1;1;1;4;4;0;1;1;1;1;1
0;12000;1;1;1;1;2;1;1;0;1;0;0.5;0;1;1;1;1;1;0;0;1;1;1;1;1;1;0;223;1;1;1;1;1;1;1;1;1;1;1
0;12000;1;1;1;1;2;1;1;0;1;0;0.5;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;497;1;1;1;1;1;1;1;1;1;1;1
0;8900;1;1;1;1;3;1;1;0;0;3;1;0;1;1;1;1;1;1;0;1;1;1;1;0;1;0;470;1;1;1;2;2;1;1;1;1;1;1
